epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9525,1.95734,3.58518,1.82623,0.54527,0.55026,0.40871,0.41261,0.1815,1.32063,2.63816,1.61473,0.05025,0.00016,0.00016,0.00016
2,23.279,1.35152,1.92013,1.54376,0.07007,0.57239,0.86569,0.65676,0.33613,1.17946,1.54251,1.58668,0.00617,0.000333268,0.000333268,0.000333268
3,33.3907,1.09568,1.12552,1.47532,0.01245,0.73253,0.8759,0.8647,0.5773,0.8886,0.87613,1.65364,0.00583,0.000499408,0.000499408,0.000499408
4,46.3292,0.93202,0.83234,1.50315,0.01166,0.7593,0.94071,0.92866,0.69198,0.82727,1.24419,1.66473,0.00612,0.00065842,0.00065842,0.00065842
5,56.5796,0.87216,0.67784,1.48321,0.01239,0.87776,0.94484,0.96511,0.7576,0.84269,1.17978,1.62055,0.00685,0.000810304,0.000810304,0.000810304
6,66.8078,0.79391,0.61251,1.44582,0.01055,0.91097,0.9397,0.97089,0.7927,0.70854,0.79114,1.53392,0.01066,0.00095506,0.00095506,0.00095506
7,76.4708,0.79314,0.59202,1.44615,0.0091,0.9308,0.93848,0.96864,0.80107,0.71473,0.63498,1.46097,0.01009,0.00109269,0.00109269,0.00109269
8,86.6072,0.76527,0.57192,1.41053,0.01057,0.92534,0.94705,0.96959,0.82336,0.64516,0.60499,1.41574,0.01009,0.00122319,0.00122319,0.00122319
9,97.1603,0.75442,0.55658,1.37527,0.00741,0.92991,0.94622,0.96886,0.81676,0.64904,0.54914,1.41549,0.01265,0.00134656,0.00134656,0.00134656
10,107.152,0.75303,0.53862,1.36217,0.00771,0.92644,0.95008,0.96864,0.8151,0.63892,0.5522,1.40236,0.01027,0.0014628,0.0014628,0.0014628
11,117.096,0.73201,0.51844,1.34991,0.0083,0.91187,0.95229,0.97307,0.81215,0.64154,0.53845,1.41265,0.01291,0.00157192,0.00157192,0.00157192
12,127.009,0.71779,0.5151,1.33573,0.01003,0.92759,0.95034,0.97389,0.82353,0.61192,0.48602,1.3483,0.01373,0.0015644,0.0015644,0.0015644
13,137.697,0.70598,0.49536,1.33435,0.00977,0.93156,0.94484,0.95982,0.80475,0.66604,0.49359,1.37277,0.00979,0.0015248,0.0015248,0.0015248
14,148.298,0.73646,0.49563,1.31991,0.00721,0.90347,0.95243,0.97044,0.80316,0.66609,0.50293,1.39206,0.01002,0.0014852,0.0014852,0.0014852
15,158.645,0.71591,0.50218,1.34524,0.0106,0.91373,0.95587,0.97324,0.82363,0.61338,0.47881,1.35764,0.0115,0.0014456,0.0014456,0.0014456
16,169.596,0.75074,0.49815,1.31382,0.00605,0.9244,0.9577,0.9741,0.82336,0.6084,0.4675,1.35843,0.0075,0.001406,0.001406,0.001406
17,179.635,0.70242,0.49218,1.30506,0.00955,0.92015,0.95344,0.9738,0.81968,0.62162,0.47716,1.32601,0.0119,0.0013664,0.0013664,0.0013664
18,188.97,0.69256,0.47456,1.30486,0.0133,0.92674,0.95339,0.97535,0.82698,0.61551,0.46498,1.32967,0.01012,0.0013268,0.0013268,0.0013268
19,199.747,0.67104,0.48466,1.30597,0.00723,0.93301,0.9526,0.9697,0.83881,0.57715,0.45328,1.32181,0.0089,0.0012872,0.0012872,0.0012872
20,210.306,0.69292,0.47027,1.29033,0.00879,0.9356,0.95229,0.97005,0.8408,0.57343,0.44956,1.30041,0.00995,0.0012476,0.0012476,0.0012476
21,220.671,0.67219,0.47725,1.29048,0.00799,0.92547,0.95477,0.97632,0.83655,0.57282,0.4507,1.31029,0.00771,0.001208,0.001208,0.001208
22,231.795,0.67262,0.47006,1.27684,0.00946,0.93756,0.95657,0.97065,0.84301,0.5603,0.444,1.29173,0.00937,0.0011684,0.0011684,0.0011684
23,242.166,0.64479,0.46063,1.3002,0.01174,0.93115,0.95284,0.97691,0.8344,0.57382,0.44621,1.30638,0.00969,0.0011288,0.0011288,0.0011288
24,252.579,0.64329,0.4506,1.28259,0.0085,0.93552,0.95226,0.96973,0.8392,0.58768,0.44432,1.29442,0.00835,0.0010892,0.0010892,0.0010892
25,264.155,0.64727,0.45957,1.28665,0.0077,0.92406,0.96415,0.97691,0.84843,0.55096,0.43931,1.29448,0.00967,0.0010496,0.0010496,0.0010496
26,275.82,0.68383,0.45828,1.25161,0.00846,0.92059,0.95505,0.97594,0.81917,0.60659,0.46309,1.31893,0.00938,0.00101,0.00101,0.00101
27,286.157,0.64022,0.45679,1.27873,0.00804,0.93039,0.95753,0.97867,0.84485,0.55784,0.43829,1.28378,0.0082,0.0009704,0.0009704,0.0009704
28,297.326,0.64244,0.44879,1.27183,0.00954,0.92955,0.95477,0.97713,0.84526,0.56324,0.43805,1.29423,0.00875,0.0009308,0.0009308,0.0009308
29,307.496,0.60915,0.43871,1.28593,0.00841,0.9311,0.9567,0.97745,0.85196,0.55333,0.44443,1.27732,0.00855,0.0008912,0.0008912,0.0008912
30,318.628,0.6117,0.4451,1.26716,0.00757,0.92191,0.96608,0.97592,0.84697,0.55918,0.43891,1.26891,0.00756,0.0008516,0.0008516,0.0008516
31,330.959,0.64807,0.44677,1.26304,0.00707,0.92545,0.95284,0.97582,0.84172,0.5631,0.43765,1.28847,0.00811,0.000812,0.000812,0.000812
32,340.827,0.58569,0.42297,1.26011,0.00905,0.94247,0.94876,0.97124,0.84835,0.54833,0.42533,1.26095,0.00875,0.0007724,0.0007724,0.0007724
33,351.116,0.62482,0.43856,1.25269,0.00751,0.93079,0.96062,0.97924,0.8554,0.533,0.42212,1.26219,0.00795,0.0007328,0.0007328,0.0007328
34,361.424,0.59707,0.42547,1.25282,0.00689,0.92688,0.9647,0.98,0.85701,0.53354,0.42068,1.26103,0.0084,0.0006932,0.0006932,0.0006932
35,371.627,0.6064,0.42962,1.24508,0.00729,0.92957,0.96415,0.9801,0.85736,0.53881,0.42517,1.24924,0.0082,0.0006536,0.0006536,0.0006536
36,381.833,0.59347,0.4294,1.2429,0.00949,0.93131,0.96103,0.97908,0.85321,0.54037,0.41948,1.25567,0.00719,0.000614,0.000614,0.000614
37,392.525,0.61057,0.41765,1.24201,0.00716,0.93202,0.96037,0.97884,0.85969,0.52926,0.41342,1.2549,0.00808,0.0005744,0.0005744,0.0005744
38,403.742,0.60516,0.42529,1.25493,0.00744,0.93041,0.96603,0.97854,0.8609,0.5307,0.41206,1.26046,0.00844,0.0005348,0.0005348,0.0005348
39,415.025,0.59176,0.4187,1.24626,0.00684,0.92701,0.96672,0.97877,0.86027,0.52219,0.40749,1.26179,0.00756,0.0004952,0.0004952,0.0004952
40,426.373,0.6159,0.42402,1.24355,0.00619,0.92868,0.96242,0.97932,0.85942,0.52798,0.41318,1.25301,0.00738,0.0004556,0.0004556,0.0004556
41,435.753,0.54771,0.42212,1.24025,0.0103,0.93473,0.95967,0.97195,0.85246,0.53847,0.4103,1.24724,0.00798,0.000416,0.000416,0.000416
42,442.829,0.60243,0.43348,1.23811,0.00859,0.94428,0.94981,0.97148,0.83367,0.59084,0.42138,1.25578,0.0073,0.0003764,0.0003764,0.0003764
43,450.584,0.60159,0.42369,1.23213,0.00606,0.94453,0.95331,0.97147,0.84715,0.54807,0.41308,1.25042,0.00695,0.0003368,0.0003368,0.0003368
44,457.595,0.54804,0.41923,1.24414,0.00598,0.93905,0.96021,0.9705,0.85791,0.522,0.40743,1.24932,0.00816,0.0002972,0.0002972,0.0002972
45,464.901,0.54876,0.41371,1.24036,0.00879,0.93429,0.96455,0.9706,0.85473,0.53165,0.40858,1.24603,0.00869,0.0002576,0.0002576,0.0002576
46,471.849,0.58633,0.41738,1.22839,0.00959,0.93276,0.96414,0.97733,0.85706,0.52983,0.40866,1.24717,0.00827,0.000218,0.000218,0.000218
47,478.847,0.53251,0.40859,1.23667,0.0086,0.93377,0.96084,0.97793,0.85945,0.52612,0.40951,1.25009,0.00771,0.0001784,0.0001784,0.0001784
48,486.719,0.55223,0.41028,1.23294,0.00808,0.93322,0.96001,0.97861,0.86057,0.52404,0.40614,1.25231,0.00724,0.0001388,0.0001388,0.0001388
49,493.971,0.54359,0.39687,1.22387,0.00731,0.93313,0.95818,0.97879,0.86114,0.52336,0.40555,1.25403,0.00729,9.92e-05,9.92e-05,9.92e-05
50,501.477,0.54107,0.40666,1.22704,0.00672,0.93262,0.9581,0.97888,0.86115,0.52254,0.40488,1.25293,0.00734,5.96e-05,5.96e-05,5.96e-05
