epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3518,1.89043,3.0037,1.89422,0.47007,0.70259,0.53585,0.61668,0.3342,1.02771,1.89599,1.8271,0.05858,0.00016,0.00016,0.00016
2,29.9877,1.13078,1.21873,1.59436,0.03682,0.79628,0.89051,0.89999,0.6449,0.8397,0.72481,1.81041,0.00885,0.000333268,0.000333268,0.000333268
3,43.465,0.90125,0.72649,1.58101,0.01586,0.89764,0.92867,0.95587,0.73479,0.73048,0.82171,1.70419,0.00615,0.000499408,0.000499408,0.000499408
4,57.2253,0.83972,0.63109,1.50544,0.01107,0.92728,0.93898,0.958,0.78701,0.69589,0.72263,1.58222,0.00523,0.00065842,0.00065842,0.00065842
5,70.8068,0.77485,0.58551,1.47927,0.00878,0.90707,0.96056,0.97259,0.79523,0.64462,0.68763,1.52172,0.008,0.000810304,0.000810304,0.000810304
6,84.4352,0.75058,0.54758,1.42637,0.00878,0.91065,0.96167,0.97562,0.80299,0.6593,0.69319,1.46874,0.00916,0.00095506,0.00095506,0.00095506
7,97.9026,0.75845,0.53836,1.414,0.01164,0.92124,0.95753,0.97405,0.82413,0.62979,0.53286,1.40554,0.0118,0.00109269,0.00109269,0.00109269
8,111.162,0.7449,0.50865,1.37903,0.00928,0.91243,0.96746,0.96694,0.80191,0.66359,0.59354,1.41747,0.01137,0.00122319,0.00122319,0.00122319
9,126.654,0.71741,0.50854,1.3595,0.01213,0.91467,0.96387,0.96523,0.80372,0.60734,0.50931,1.38588,0.00994,0.00134656,0.00134656,0.00134656
10,139.258,0.67359,0.49051,1.36182,0.00808,0.93479,0.95284,0.96461,0.80122,0.59658,0.50101,1.36775,0.0073,0.0014628,0.0014628,0.0014628
11,152.265,0.68269,0.49584,1.35365,0.0126,0.91222,0.96007,0.9704,0.80694,0.62416,0.51261,1.35359,0.01023,0.00157192,0.00157192,0.00157192
12,165.335,0.65405,0.47543,1.31893,0.00923,0.9184,0.96536,0.97324,0.81233,0.58248,0.49724,1.3334,0.00966,0.0015644,0.0015644,0.0015644
13,180.504,0.65403,0.46582,1.30841,0.00954,0.92502,0.96194,0.97438,0.83262,0.56299,0.47183,1.34401,0.01002,0.0015248,0.0015248,0.0015248
14,194.097,0.62301,0.44153,1.28654,0.00808,0.92206,0.9636,0.97391,0.84149,0.55467,0.45976,1.31452,0.00796,0.0014852,0.0014852,0.0014852
15,208.586,0.63581,0.44858,1.28504,0.00969,0.92586,0.96056,0.97584,0.84424,0.56135,0.45108,1.31181,0.00869,0.0014456,0.0014456,0.0014456
16,223.563,0.58606,0.42478,1.27578,0.0089,0.92762,0.96304,0.97842,0.8632,0.5298,0.43012,1.28817,0.0076,0.001406,0.001406,0.001406
17,238.162,0.6027,0.4373,1.27419,0.0075,0.91882,0.96553,0.97611,0.85174,0.5313,0.43105,1.29166,0.00882,0.0013664,0.0013664,0.0013664
18,253.602,0.58378,0.42396,1.26892,0.00933,0.93636,0.95768,0.97935,0.86126,0.53666,0.42556,1.2834,0.00778,0.0013268,0.0013268,0.0013268
19,269.01,0.62548,0.44937,1.26804,0.00862,0.92282,0.96663,0.97844,0.86014,0.54393,0.44179,1.28241,0.00775,0.0012872,0.0012872,0.0012872
20,285.391,0.60452,0.42258,1.24219,0.01038,0.93009,0.96525,0.97974,0.8714,0.51281,0.41626,1.27951,0.00786,0.0012476,0.0012476,0.0012476
21,300.454,0.56963,0.42605,1.2629,0.00663,0.936,0.96056,0.97979,0.86756,0.52567,0.41943,1.26697,0.00752,0.001208,0.001208,0.001208
22,328.657,0.57242,0.41981,1.24524,0.00746,0.9252,0.97049,0.98031,0.87261,0.51189,0.40865,1.27755,0.00719,0.0011684,0.0011684,0.0011684
23,398.712,0.54975,0.40578,1.253,0.00948,0.93929,0.96425,0.981,0.87473,0.50705,0.40541,1.25104,0.00715,0.0011288,0.0011288,0.0011288
24,427.543,0.5718,0.41285,1.24187,0.00612,0.93132,0.9611,0.9809,0.87386,0.51285,0.41198,1.25697,0.00625,0.0010892,0.0010892,0.0010892
25,440.58,0.57371,0.40746,1.22752,0.00693,0.9331,0.96545,0.98083,0.8769,0.50844,0.40936,1.2361,0.00678,0.0010496,0.0010496,0.0010496
26,458.939,0.59722,0.41147,1.22565,0.00877,0.9299,0.9658,0.98066,0.87836,0.49399,0.40095,1.2434,0.00728,0.00101,0.00101,0.00101
27,473.958,0.57384,0.40684,1.22693,0.00797,0.92787,0.96635,0.98086,0.87897,0.50427,0.40381,1.23327,0.00779,0.0009704,0.0009704,0.0009704
28,490.9,0.56743,0.39931,1.22123,0.00651,0.92427,0.96746,0.98071,0.87897,0.49206,0.39415,1.24984,0.00855,0.0009308,0.0009308,0.0009308
29,504.262,0.54144,0.38694,1.22394,0.00867,0.93888,0.96167,0.98172,0.87604,0.49761,0.39319,1.22257,0.0078,0.0008912,0.0008912,0.0008912
30,517.436,0.55028,0.40144,1.22442,0.00762,0.93148,0.96498,0.98104,0.87717,0.50477,0.39625,1.24959,0.00719,0.0008516,0.0008516,0.0008516
