ID_Caillou;Surface (mm2);Diametre_Equivalent (mm);Longueur_Max (mm);Largeur_Max (mm)
1;2063.68;51.26;85.19;32.32
2;924.57;34.31;85.04;14.62
3;67.25;9.25;10.69;8.34
4;25.95;5.75;6.64;5.11
5;48.51;7.86;10.46;6.18
6;23.46;5.47;6.77;4.58
7;221.66;16.8;85.09;3.47
8;48.15;7.83;11.41;5.51
9;12.48;3.99;5.72;2.87
10;50.7;8.03;9.1;7.37
11;30.66;6.25;6.75;5.88
12;14.98;4.37;5.14;3.8
13;16.58;4.59;5.12;4.19
14;10.73;3.7;3.82;3.64
15;18.01;4.79;5.92;3.95
16;18.52;4.86;6.01;4.03
17;35.97;6.77;8.28;5.66
18;18.8;4.89;5.99;4.14
19;9.87;3.54;4.19;3.09
20;18.2;4.81;5.4;4.35
21;28.06;5.98;6.63;5.47
22;10.03;3.57;3.75;3.42
23;18.33;4.83;5.46;4.29
24;21.88;5.28;6.3;4.7
25;10.31;3.62;5.21;2.79
26;19.52;4.98;5.8;4.47
27;18.82;4.9;5.9;4.2
28;22.02;5.3;6.32;4.58
29;14.55;4.3;5.51;3.45
30;20.87;5.16;5.85;4.64
31;89.41;10.67;12.97;9.86
32;20.44;5.1;6.04;4.4
33;19.53;4.99;6.06;4.17
34;30.53;6.24;7.61;5.19
35;23.1;5.42;6.55;4.66
36;38.33;6.99;10.83;4.54
37;30.77;6.26;8.19;4.91
38;13.94;4.21;4.63;3.88
39;17.67;4.74;6.69;3.47
40;23.96;5.52;6.8;4.54
41;16.9;4.64;4.72;4.58
42;20.86;5.15;6.36;4.26
43;27.93;5.96;6.66;5.57
44;23.28;5.44;6.15;5.03
45;24.98;5.64;7.18;4.82
46;16.37;4.57;5.6;3.88
47;36.71;6.84;7.45;6.6
48;12.75;4.03;4.84;3.43
49;22.26;5.32;7.21;4.0
50;21.83;5.27;5.61;5.05
51;18.09;4.8;5.72;4.1
52;20.98;5.17;6.04;4.54
53;88.22;10.6;15.96;7.31
54;17.67;4.74;5.44;4.21
55;19.4;4.97;6.48;4.02
56;16.6;4.6;5.43;3.99
57;40.19;7.15;9.03;5.74
58;18.02;4.79;5.21;4.6
59;140.28;13.36;85.95;2.22
60;17.12;4.67;6.26;3.69
61;19.93;5.04;6.34;4.14
62;25.72;5.72;7.18;4.85
63;12.94;4.06;5.7;3.0
64;8.55;3.3;3.48;3.23
65;16.07;4.52;5.6;3.8
66;16.47;4.58;5.01;4.28
67;23.03;5.42;5.87;5.08
68;6.38;2.85;3.73;2.2
69;9.19;3.42;3.94;2.99
70;10.98;3.74;4.27;3.45
71;15.32;4.42;5.93;3.45
72;29.92;6.17;6.7;5.83
73;14.06;4.23;5.44;3.41
74;26.93;5.86;8.02;4.41
75;9.52;3.48;5.31;2.34
76;12.44;3.98;5.56;2.93
77;16.5;4.58;5.0;4.3
78;12.61;4.01;5.68;2.92
79;16.84;4.63;5.59;3.9
80;15.96;4.51;5.14;4.03
81;21.23;5.2;5.89;4.71
82;22.16;5.31;6.62;4.52
83;22.06;5.3;11.57;2.55
84;22.78;5.39;10.28;3.25
85;4.65;2.43;2.83;2.19
86;11.2;3.78;4.52;3.24
87;13.85;4.2;4.55;3.94
88;17.92;4.78;6.83;3.39
89;13.62;4.16;6.2;2.96
90;15.39;4.43;6.49;3.08
91;4.98;2.52;2.94;2.28
92;21.65;5.25;8.06;3.48
93;21.37;5.22;5.65;5.02
94;13.65;4.17;6.25;2.9
95;20.22;5.07;5.76;4.64
